Home,Away,Outcome,Odd_1,Odd_X,Odd_2,anno
Monza,Verona,X,2.24,3.13,3.42,2023
Fiorentina,Frosinone,1,1.52,4.36,5.9,2023
Sassuolo,Torino,X,3.3,3.22,2.25,2023
Roma,Inter,2,4.36,3.52,1.84,2023
Cagliari,Lazio,2,3.57,3.24,2.13,2023
Salernitana,Empoli,2,2.35,3.11,3.21,2023
Roma,Cagliari,1,1.46,4.32,7.16,2023
Inter,Juventus,1,1.83,3.42,4.65,2023
Atalanta,Lazio,1,2.01,3.28,3.91,2023
Napoli,Verona,1,1.44,4.42,7.53,2023
Torino,Salernitana,X,1.56,3.85,6.4,2023
Bologna,Sassuolo,1,1.61,3.82,5.71,2023
Frosinone,Milan,2,4.52,3.93,1.73,2023
Empoli,Genoa,X,2.89,2.9,2.73,2023
Udinese,Monza,X,2.11,3.21,3.67,2023
Lecce,Fiorentina,1,3.55,3.16,2.19,2023
Salernitana,Roma,2,5.24,3.66,1.69,2023
Fiorentina,Inter,2,4.46,3.43,1.86,2023
Lazio,Napoli,X,2.36,3.01,3.34,2023
Monza,Sassuolo,1,2.16,3.33,3.36,2023
Verona,Frosinone,X,2.22,3.3,3.32,2023
Genoa,Lecce,1,2.11,3.05,3.89,2023
Milan,Bologna,X,1.71,3.57,5.24,2023
Juventus,Empoli,X,1.26,5.47,12.22,2023
Atalanta,Udinese,1,1.48,4.38,6.53,2023
Cagliari,Torino,2,3.71,3.02,2.19,2023
Lecce,Juventus,2,5.22,3.36,1.76,2023
Salernitana,Genoa,2,3.22,2.99,2.44,2023
Empoli,Monza,1,2.64,3.22,2.74,2023
Frosinone,Cagliari,1,2.33,3.36,3.04,2023
Udinese,Milan,2,4.03,3.6,1.88,2023
Roma,Verona,1,1.44,4.35,7.58,2023
Juventus,Sassuolo,1,1.4,4.81,7.52,2023
Atalanta,Frosinone,1,1.39,4.93,7.68,2023
Milan,Roma,1,2.09,3.19,3.83,2023
Fiorentina,Udinese,X,1.63,3.8,5.58,2023
Cagliari,Bologna,1,3.21,3.01,2.43,2023
Lazio,Lecce,1,1.6,3.75,6.13,2023
Monza,Inter,2,7.9,4.85,1.38,2023
Verona,Empoli,1,2.16,3.27,3.48,2023
Genoa,Torino,X,3.15,2.88,2.56,2023
Napoli,Salernitana,1,1.31,5.4,9.54,2023
Roma,Atalanta,X,2.26,3.11,3.39,2023
Salernitana,Juventus,2,6.99,4.16,1.49,2023
Torino,Napoli,1,2.61,3.08,2.87,2023
Udinese,Lazio,2,3.42,3.12,2.26,2023
Empoli,Milan,2,5.24,3.98,1.63,2023
Sassuolo,Fiorentina,1,3.29,3.53,2.13,2023
Lecce,Cagliari,X,2.21,3.15,3.51,2023
Frosinone,Monza,2,2.46,3.37,2.83,2023
Inter,Verona,1,1.17,7.65,14.65,2023
Bologna,Genoa,X,2.28,2.93,3.63,2023
Juventus,Roma,1,2.11,2.95,4.11,2023
Milan,Sassuolo,1,1.51,4.69,5.58,2023
Verona,Salernitana,2,1.89,3.41,4.26,2023
Cagliari,Empoli,X,2.04,3.47,3.58,2023
Udinese,Bologna,1,3.51,3.01,2.27,2023
Atalanta,Lecce,1,1.35,4.95,8.49,2023
Genoa,Inter,X,5.99,3.65,1.63,2023
Lazio,Frosinone,1,1.59,3.95,5.77,2023
Fiorentina,Torino,1,2.13,3.11,3.76,2023
Napoli,Monza,X,1.56,4.15,5.74,2023
Roma,Napoli,1,2.86,3.05,2.65,2023
Inter,Lecce,1,1.27,5.61,11.24,2023
Verona,Cagliari,1,2.39,3.16,3.12,2023
Bologna,Atalanta,1,2.79,2.98,2.74,2023
Torino,Udinese,X,1.65,3.66,5.71,2023
Frosinone,Juventus,2,5.29,3.56,1.71,2023
Monza,Fiorentina,2,2.81,3.2,2.57,2023
Salernitana,Milan,X,6.88,4.49,1.45,2023
Empoli,Lazio,2,4.34,3.41,1.88,2023
Sassuolo,Genoa,2,2.49,3.13,2.98,2023
Atalanta,Salernitana,1,1.26,5.95,11.19,2023
Lazio,Inter,2,4.29,3.47,1.87,2023
Bologna,Roma,1,2.44,2.89,3.34,2023
Fiorentina,Verona,1,1.47,4.44,6.62,2023
Udinese,Sassuolo,X,2.42,3.37,2.87,2023
Milan,Monza,1,1.55,4.21,5.75,2023
Torino,Empoli,1,1.58,3.88,6.13,2023
Napoli,Cagliari,1,1.37,5.11,7.58,2023
Lecce,Frosinone,1,2.17,3.22,3.52,2023
Genoa,Juventus,X,4.61,2.93,2.01,2023
Cagliari,Sassuolo,1,2.55,3.3,2.76,2023
Empoli,Lecce,X,2.5,3.06,3.01,2023
Roma,Fiorentina,X,1.93,3.37,4.13,2023
Salernitana,Bologna,2,4.56,3.43,1.83,2023
Monza,Genoa,1,2.15,3.11,3.67,2023
Frosinone,Torino,X,3.7,3.24,2.08,2023
Inter,Udinese,1,1.22,6.47,12.5,2023
Atalanta,Milan,1,2.5,3.18,2.91,2023
Verona,Lazio,X,4.33,3.39,1.88,2023
Juventus,Napoli,1,2.23,3.21,3.38,2023
Torino,Atalanta,1,2.93,3.15,2.52,2023
Napoli,Inter,2,2.94,3.38,2.39,2023
Sassuolo,Roma,2,3.52,3.53,2.06,2023
Fiorentina,Salernitana,1,1.4,4.7,7.66,2023
Udinese,Verona,X,1.81,3.55,4.54,2023
Lecce,Bologna,X,3.02,3.0,2.55,2023
Milan,Frosinone,1,1.43,4.78,7.03,2023
Lazio,Cagliari,1,1.66,3.85,5.16,2023
Genoa,Empoli,X,1.99,3.29,4.06,2023
Monza,Juventus,2,4.29,3.37,1.9,2023
Bologna,Torino,1,2.36,3.0,3.36,2023
Verona,Lecce,X,2.79,2.92,2.82,2023
Juventus,Inter,X,3.4,3.16,2.26,2023
Roma,Udinese,1,1.63,3.72,5.77,2023
Empoli,Sassuolo,2,2.64,3.46,2.58,2023
Frosinone,Genoa,1,2.44,3.18,2.99,2023
Cagliari,Monza,X,2.72,3.2,2.66,2023
Milan,Fiorentina,1,2.1,3.33,3.59,2023
Atalanta,Napoli,2,2.53,3.37,2.77,2023
Salernitana,Lazio,1,4.59,3.51,1.81,2023
Inter,Frosinone,1,1.17,7.91,14.0,2023
Lazio,Roma,X,2.93,2.84,2.76,2023
Fiorentina,Bologna,1,2.0,3.36,3.88,2023
Udinese,Atalanta,X,3.48,3.38,2.13,2023
Napoli,Empoli,2,1.27,6.17,9.93,2023
Monza,Torino,X,2.76,3.03,2.76,2023
Juventus,Cagliari,1,1.44,4.43,7.6,2023
Lecce,Milan,X,4.98,3.59,1.75,2023
Genoa,Verona,1,1.84,3.24,4.96,2023
Sassuolo,Salernitana,X,1.74,3.92,4.45,2023
Torino,Sassuolo,1,2.06,3.34,3.72,2023
Frosinone,Empoli,1,2.15,3.43,3.36,2023
Fiorentina,Juventus,2,2.86,3.09,2.63,2023
Roma,Lecce,1,1.54,3.85,6.9,2023
Cagliari,Genoa,1,2.69,2.97,2.9,2023
Verona,Monza,2,3.07,3.11,2.46,2023
Milan,Udinese,2,1.43,4.46,7.5,2023
Atalanta,Inter,2,3.52,3.44,2.09,2023
Salernitana,Napoli,2,7.76,5.13,1.37,2023
Bologna,Lazio,1,2.72,3.03,2.82,2023
Lazio,Fiorentina,1,2.28,3.28,3.2,2023
Empoli,Atalanta,2,5.05,4.05,1.64,2023
Napoli,Milan,X,2.24,3.31,3.27,2023
Inter,Roma,1,1.53,4.05,6.46,2023
Monza,Udinese,X,2.05,3.42,3.63,2023
Cagliari,Frosinone,1,2.18,3.33,3.39,2023
Juventus,Verona,1,1.35,4.89,8.98,2023
Lecce,Torino,2,2.73,2.89,2.92,2023
Sassuolo,Bologna,X,2.56,3.36,2.71,2023
Genoa,Salernitana,1,1.73,3.59,5.07,2023
Fiorentina,Empoli,2,1.41,4.79,7.38,2023
Udinese,Lecce,X,2.11,3.18,3.75,2023
Milan,Juventus,2,2.12,3.26,3.61,2023
Atalanta,Genoa,1,1.52,4.2,6.42,2023
Bologna,Frosinone,1,1.73,3.73,4.79,2023
Salernitana,Cagliari,X,2.33,3.17,3.24,2023
Roma,Monza,1,1.72,3.66,4.96,2023
Sassuolo,Lazio,2,2.74,3.48,2.49,2023
Torino,Inter,2,5.23,3.72,1.69,2023
Verona,Napoli,2,5.55,4.01,1.6,2023
Napoli,Fiorentina,2,1.57,4.32,5.53,2023
Cagliari,Roma,2,5.0,3.5,1.77,2023
Frosinone,Verona,1,2.21,3.32,3.37,2023
Lazio,Atalanta,1,2.91,3.17,2.54,2023
Monza,Salernitana,1,1.7,3.83,4.92,2023
Genoa,Milan,2,4.26,3.32,1.94,2023
Juventus,Torino,1,2.04,3.12,4.18,2023
Inter,Bologna,X,1.31,5.51,9.47,2023
Lecce,Sassuolo,X,2.63,3.35,2.66,2023
Empoli,Udinese,X,2.84,3.26,2.55,2023
Fiorentina,Cagliari,1,1.55,4.04,6.33,2023
Sassuolo,Monza,2,2.09,3.75,3.24,2023
Torino,Verona,X,1.74,3.4,5.38,2023
Roma,Frosinone,1,1.39,4.83,8.11,2023
Atalanta,Juventus,X,2.39,3.2,3.14,2023
Udinese,Genoa,X,2.21,3.19,3.49,2023
Bologna,Empoli,1,1.69,3.83,5.05,2023
Salernitana,Inter,2,8.11,4.88,1.39,2023
Milan,Lazio,1,1.72,3.72,5.06,2023
Lecce,Napoli,2,4.84,3.65,1.75,2023
Genoa,Roma,1,4.04,3.18,2.04,2023
Frosinone,Fiorentina,X,3.78,3.53,1.97,2023
Monza,Bologna,X,2.28,3.34,3.2,2023
Inter,Sassuolo,2,1.25,6.62,10.01,2023
Lazio,Torino,1,2.21,3.21,3.49,2023
Napoli,Udinese,1,1.39,4.98,7.63,2023
Cagliari,Milan,2,4.44,3.4,1.88,2023
Empoli,Salernitana,1,2.64,3.14,2.8,2023
Verona,Atalanta,2,4.23,3.58,1.86,2023
Juventus,Lecce,1,1.49,4.21,6.99,2023
Torino,Roma,X,3.19,2.94,2.46,2023
Bologna,Napoli,X,3.46,3.51,2.07,2023
Atalanta,Cagliari,1,1.4,4.68,7.39,2023
Udinese,Fiorentina,2,3.26,3.28,2.22,2023
Empoli,Inter,2,10.44,5.89,1.26,2023
Lazio,Monza,X,1.77,3.8,4.34,2023
Sassuolo,Juventus,1,4.25,3.98,1.75,2023
Milan,Verona,1,1.38,4.73,8.17,2023
Lecce,Genoa,1,2.53,3.09,2.93,2023
Salernitana,Frosinone,X,2.42,3.19,2.99,2023
Verona,Bologna,X,3.36,3.27,2.19,2023
Salernitana,Torino,2,3.59,3.07,2.19,2023
Roma,Empoli,1,1.38,4.62,8.46,2023
Fiorentina,Atalanta,1,2.68,3.29,2.62,2023
Frosinone,Sassuolo,1,2.96,3.46,2.32,2023
Monza,Lecce,X,2.37,3.23,3.05,2023
Cagliari,Udinese,X,2.83,3.17,2.57,2023
Genoa,Napoli,X,5.45,3.8,1.63,2023
Inter,Milan,1,2.16,3.35,3.37,2023
Juventus,Lazio,1,1.91,3.43,4.12,2023
Empoli,Juventus,2,5.47,3.91,1.62,2023
Lecce,Salernitana,1,1.93,3.28,4.23,2023
Inter,Fiorentina,1,1.7,3.82,4.76,2023
Torino,Genoa,1,2.02,3.21,3.92,2023
Atalanta,Monza,1,1.67,4.01,4.77,2023
Napoli,Lazio,2,1.63,4.03,5.16,2023
Bologna,Cagliari,1,1.76,3.65,4.56,2023
Udinese,Frosinone,X,1.86,3.51,4.23,2023
Roma,Milan,2,2.82,3.01,2.68,2023
Sassuolo,Verona,1,1.93,3.59,3.8,2023
Cagliari,Inter,2,7.26,4.62,1.41,2023
Salernitana,Udinese,X,2.73,3.21,2.62,2023
Lazio,Genoa,2,1.77,3.67,4.48,2023
Napoli,Sassuolo,1,1.31,5.65,8.34,2023
Fiorentina,Lecce,X,1.67,3.77,5.15,2023
Juventus,Bologna,X,1.67,3.76,5.18,2023
Milan,Torino,1,1.72,3.59,5.02,2023
Verona,Roma,1,4.69,3.34,1.83,2023
Frosinone,Atalanta,1,5.13,4.05,1.62,2023
Monza,Empoli,1,1.9,3.57,3.92,2023
Bologna,Milan,2,3.84,3.41,1.97,2023
Torino,Cagliari,X,1.59,3.79,6.0,2023
Lecce,Lazio,1,3.69,3.2,2.09,2023
Udinese,Juventus,2,3.84,3.26,2.03,2023
Roma,Salernitana,X,1.51,3.89,7.18,2023
Sassuolo,Atalanta,2,3.35,3.55,2.1,2023
Genoa,Fiorentina,2,3.25,3.22,2.29,2023
Inter,Monza,1,1.39,4.96,7.36,2023
Empoli,Verona,2,2.24,3.27,3.27,2023
Frosinone,Napoli,2,6.26,4.36,1.5,2023
Salernitana,Udinese,2,1.85,3.84,3.86,2021
Venezia,Cagliari,X,5.31,4.0,1.61,2021
Inter,Sampdoria,1,1.13,8.83,17.17,2021
Sassuolo,Milan,2,6.57,4.83,1.44,2021
Spezia,Napoli,2,4.48,4.08,1.69,2021
Atalanta,Empoli,2,1.19,7.57,11.84,2021
Fiorentina,Juventus,1,1.8,3.78,4.17,2021
Lazio,Verona,X,1.89,3.65,3.85,2021
Genoa,Bologna,2,1.84,3.83,3.9,2021
Torino,Roma,2,3.55,3.58,2.02,2021
Juventus,Lazio,X,2.08,3.51,3.44,2021
Sampdoria,Fiorentina,1,5.8,4.28,1.54,2021
Cagliari,Inter,2,7.35,5.46,1.35,2021
Milan,Atalanta,1,1.86,3.68,4.04,2021
Napoli,Genoa,1,1.67,4.35,4.37,2021
Bologna,Sassuolo,2,2.35,3.77,2.71,2021
Roma,Venezia,X,1.24,6.19,10.78,2021
Udinese,Spezia,2,1.64,3.93,5.09,2021
Verona,Torino,2,1.96,3.43,3.88,2021
Empoli,Salernitana,X,2.92,3.59,2.27,2021
Fiorentina,Roma,1,2.66,3.29,2.68,2021
Verona,Milan,2,4.99,3.86,1.67,2021
Salernitana,Cagliari,X,2.38,3.06,3.23,2021
Venezia,Bologna,1,3.13,3.51,2.22,2021
Spezia,Atalanta,2,6.46,4.77,1.44,2021
Lazio,Sampdoria,1,1.44,4.63,6.98,2021
Sassuolo,Udinese,X,2.42,3.64,2.73,2021
Torino,Napoli,2,3.47,3.49,2.09,2021
Genoa,Juventus,1,3.63,3.33,2.1,2021
Inter,Empoli,1,1.13,8.98,17.19,2021
Salernitana,Venezia,1,1.93,3.51,3.93,2021
Atalanta,Salernitana,X,1.28,5.99,9.43,2021
Roma,Bologna,X,1.49,4.38,6.43,2021
Udinese,Inter,2,6.41,4.57,1.47,2021
Milan,Fiorentina,1,1.56,4.14,5.79,2021
Empoli,Torino,2,2.81,3.39,2.46,2021
Juventus,Venezia,1,1.24,6.17,11.78,2021
Spezia,Lazio,2,6.54,4.43,1.49,2021
Sampdoria,Genoa,1,2.89,2.93,2.72,2021
Cagliari,Verona,2,2.51,3.28,2.84,2021
Napoli,Sassuolo,1,1.39,5.29,6.98,2021
Atalanta,Torino,X,1.5,4.43,6.29,2021
Bologna,Inter,1,8.41,5.48,1.33,2021
Fiorentina,Udinese,2,1.62,4.02,5.29,2021
Sassuolo,Juventus,2,4.18,3.9,1.79,2021
Lazio,Milan,2,3.04,3.38,2.33,2021
Genoa,Cagliari,1,2.05,3.24,3.87,2021
Bologna,Udinese,X,3.19,3.31,2.29,2021
Empoli,Napoli,1,4.84,4.17,1.64,2021
Salernitana,Fiorentina,1,4.55,3.56,1.81,2021
Verona,Sampdoria,X,1.66,3.86,5.18,2021
Inter,Roma,1,1.64,3.96,5.23,2021
Torino,Spezia,1,1.64,3.74,5.66,2021
Venezia,Atalanta,2,6.86,4.74,1.44,2021
Udinese,Salernitana,2,1.64,3.92,5.25,2021
Atalanta,Verona,2,1.63,4.03,5.18,2021
Napoli,Roma,X,2.02,3.47,3.69,2021
Lazio,Torino,X,1.64,3.89,5.44,2021
Juventus,Bologna,X,1.34,5.04,9.03,2021
Fiorentina,Venezia,1,1.36,5.02,8.63,2021
Sampdoria,Salernitana,2,1.76,3.59,4.78,2021
Udinese,Empoli,1,1.6,4.09,5.54,2021
Cagliari,Sassuolo,1,2.56,3.48,2.66,2021
Milan,Genoa,1,1.36,4.91,8.91,2021
Spezia,Inter,2,10.32,5.45,1.29,2021
Bologna,Sampdoria,1,2.33,3.19,3.22,2021
Torino,Milan,X,4.57,3.56,1.82,2021
Roma,Salernitana,1,1.33,5.15,9.09,2021
Napoli,Fiorentina,2,1.77,3.72,4.55,2021
Sassuolo,Atalanta,1,2.99,3.76,2.21,2021
Venezia,Udinese,2,3.76,3.39,2.02,2021
Genoa,Lazio,2,3.7,3.31,2.08,2021
Cagliari,Juventus,2,6.38,3.83,1.58,2021
Inter,Verona,1,1.42,4.83,7.21,2021
Empoli,Spezia,X,1.89,3.43,4.34,2021
Milan,Bologna,X,1.32,5.16,9.67,2021
Verona,Genoa,1,1.82,3.44,4.69,2021
Juventus,Inter,2,2.94,3.19,2.51,2021
Sampdoria,Roma,2,4.58,3.75,1.77,2021
Atalanta,Napoli,2,2.23,3.29,3.33,2021
Udinese,Cagliari,1,1.95,3.3,4.31,2021
Fiorentina,Empoli,1,1.56,4.24,5.75,2021
Salernitana,Torino,2,3.52,3.34,2.13,2021
Lazio,Sassuolo,1,1.53,4.56,5.47,2021
Spezia,Venezia,1,2.21,3.19,3.45,2021
Bologna,Atalanta,2,4.16,3.47,1.89,2021
Roma,Lazio,1,2.63,3.16,2.8,2021
Empoli,Verona,X,2.66,3.39,2.62,2021
Juventus,Salernitana,1,1.21,6.53,13.0,2021
Venezia,Sampdoria,2,2.66,3.22,2.71,2021
Cagliari,Milan,2,5.32,3.84,1.65,2021
Inter,Fiorentina,X,1.48,4.46,6.31,2021
Napoli,Udinese,1,1.51,4.16,6.56,2021
Genoa,Torino,1,3.12,3.09,2.43,2021
Sassuolo,Spezia,1,1.76,3.88,4.41,2021
Lazio,Venezia,1,1.31,5.46,9.62,2021
Torino,Inter,X,5.0,3.64,1.73,2021
Atalanta,Genoa,X,1.34,5.24,8.63,2021
Udinese,Roma,X,3.15,3.3,2.31,2021
Verona,Napoli,2,3.48,3.33,2.15,2021
Fiorentina,Bologna,1,1.6,4.09,5.49,2021
Milan,Empoli,1,1.35,5.21,8.4,2021
Sampdoria,Juventus,2,5.31,3.67,1.69,2021
Salernitana,Sassuolo,X,3.71,3.9,1.89,2021
Spezia,Cagliari,1,2.78,3.03,2.72,2021
Napoli,Milan,2,2.14,3.24,3.59,2021
Juventus,Spezia,1,1.28,5.67,10.81,2021
Bologna,Torino,X,2.84,3.07,2.66,2021
Fiorentina,Verona,X,2.0,3.51,3.71,2021
Venezia,Sassuolo,2,3.33,3.65,2.09,2021
Genoa,Empoli,X,2.59,3.23,2.79,2021
Cagliari,Lazio,2,3.84,3.39,2.01,2021
Roma,Atalanta,1,2.59,3.24,2.79,2021
Udinese,Sampdoria,1,1.77,3.63,4.74,2021
Inter,Salernitana,1,1.13,8.59,20.43,2021
Atalanta,Sampdoria,1,1.39,4.79,8.01,2021
Lazio,Napoli,2,2.85,3.24,2.55,2021
Spezia,Roma,2,4.89,3.71,1.73,2021
Verona,Venezia,1,1.62,3.86,5.48,2021
Torino,Cagliari,2,1.71,3.57,5.37,2021
Sassuolo,Fiorentina,1,2.61,3.53,2.58,2021
Empoli,Juventus,2,4.89,3.79,1.71,2021
Salernitana,Bologna,X,3.33,3.33,2.2,2021
Genoa,Inter,X,9.11,5.17,1.34,2021
Milan,Udinese,X,1.49,4.17,7.18,2021
Bologna,Spezia,1,1.88,3.48,4.27,2021
Cagliari,Napoli,X,5.44,3.66,1.68,2021
Udinese,Lazio,X,2.74,3.07,2.76,2021
Inter,Sassuolo,2,1.27,6.13,9.49,2021
Venezia,Genoa,X,2.51,3.11,3.01,2021
Fiorentina,Atalanta,1,2.61,3.38,2.66,2021
Salernitana,Milan,X,9.99,5.19,1.32,2021
Roma,Verona,X,2.12,3.38,3.49,2021
Sampdoria,Empoli,1,2.36,3.38,2.99,2021
Juventus,Torino,X,1.66,3.6,5.85,2021
Spezia,Fiorentina,2,3.91,3.57,1.93,2021
Atalanta,Juventus,X,2.99,3.25,2.43,2021
Sassuolo,Roma,X,3.35,3.67,2.07,2021
Empoli,Cagliari,X,2.01,3.54,3.62,2021
Genoa,Salernitana,X,1.85,3.53,4.33,2021
Verona,Udinese,1,1.88,3.47,4.24,2021
Milan,Sampdoria,1,1.38,4.96,7.92,2021
Torino,Venezia,2,1.54,3.99,6.51,2021
Napoli,Inter,X,2.67,3.3,2.63,2021
Lazio,Bologna,1,1.66,3.95,5.03,2021
Salernitana,Spezia,X,2.7,3.17,2.72,2021
Juventus,Verona,1,1.58,3.92,6.13,2021
Udinese,Torino,1,3.16,3.1,2.41,2021
Bologna,Empoli,X,2.04,3.43,3.66,2021
Sampdoria,Sassuolo,1,2.71,3.63,2.43,2021
Venezia,Napoli,2,7.55,4.4,1.45,2021
Atalanta,Cagliari,2,1.22,6.56,12.53,2021
Fiorentina,Lazio,2,2.36,3.35,3.02,2021
Inter,Milan,2,1.88,3.59,4.12,2021
Roma,Genoa,X,1.36,5.0,8.47,2021
Milan,Juventus,X,2.69,3.12,2.77,2021
Empoli,Roma,2,3.82,3.95,1.86,2021
Napoli,Salernitana,1,1.12,8.58,21.97,2021
Spezia,Sampdoria,1,2.6,3.12,2.84,2021
Torino,Sassuolo,X,1.94,3.57,3.84,2021
Cagliari,Fiorentina,X,6.37,4.26,1.51,2021
Lazio,Atalanta,X,2.29,3.52,2.99,2021
Inter,Venezia,1,1.1,9.69,22.89,2021
Genoa,Udinese,X,3.5,3.21,2.18,2021
Verona,Bologna,1,1.81,3.64,4.35,2021
Fiorentina,Genoa,1,1.4,4.68,7.96,2021
Milan,Spezia,2,1.28,5.79,10.0,2021
Bologna,Napoli,2,4.33,3.55,1.84,2021
Atalanta,Inter,X,3.09,3.5,2.25,2021
Roma,Cagliari,1,1.34,5.19,8.53,2021
Venezia,Empoli,X,2.8,3.49,2.43,2021
Sassuolo,Verona,2,2.41,3.38,2.92,2021
Juventus,Udinese,1,1.41,4.5,8.07,2021
Salernitana,Lazio,2,9.69,5.42,1.3,2021
Sampdoria,Torino,2,3.54,3.33,2.12,2021
Cagliari,Bologna,1,2.91,3.28,2.44,2021
Torino,Fiorentina,1,2.95,3.29,2.42,2021
Inter,Lazio,1,1.35,5.11,8.38,2021
Verona,Salernitana,2,1.33,5.27,9.0,2021
Roma,Juventus,2,3.0,3.17,2.46,2021
Genoa,Spezia,2,2.26,3.11,3.45,2021
Napoli,Sampdoria,1,1.38,4.79,8.32,2021
Udinese,Atalanta,2,4.77,3.74,1.72,2021
Empoli,Sassuolo,2,2.66,3.76,2.41,2021
Venezia,Milan,2,5.63,4.1,1.58,2021
Juventus,Napoli,X,1.74,3.53,5.02,2021
Milan,Roma,1,2.23,3.52,3.1,2021
Sassuolo,Genoa,X,1.74,3.72,4.64,2021
Lazio,Empoli,X,1.59,4.27,5.14,2021
Spezia,Verona,2,3.27,3.35,2.21,2021
Sampdoria,Cagliari,2,1.75,3.7,4.65,2021
Empoli,Milan,2,3.99,3.81,1.84,2021
Napoli,Spezia,2,1.25,6.02,11.58,2021
Roma,Sampdoria,X,1.5,4.43,6.13,2021
Inter,Torino,1,1.28,5.59,11.0,2021
Verona,Fiorentina,X,2.91,3.39,2.4,2021
Sassuolo,Bologna,2,2.1,3.59,3.33,2021
Venezia,Lazio,2,4.14,3.36,1.93,2021
Genoa,Atalanta,X,6.36,4.58,1.47,2021
Juventus,Cagliari,1,1.21,6.3,15.53,2021
Milan,Napoli,2,2.09,3.43,3.52,2021
Sampdoria,Venezia,X,1.76,3.67,4.69,2021
Torino,Verona,1,2.21,3.28,3.38,2021
Spezia,Empoli,X,2.64,3.49,2.56,2021
Fiorentina,Sassuolo,X,1.89,3.62,4.01,2021
Cagliari,Udinese,2,3.07,3.22,2.39,2021
Bologna,Juventus,2,4.13,3.45,1.91,2021
Atalanta,Roma,2,1.72,4.03,4.45,2021
Salernitana,Inter,2,17.94,8.09,1.14,2021
Lazio,Genoa,1,1.58,3.89,6.07,2021
Roma,Spezia,1,1.37,4.99,7.96,2021
Inter,Cagliari,1,1.15,7.77,17.39,2021
Napoli,Empoli,2,1.37,5.07,7.84,2021
Sassuolo,Lazio,1,2.42,3.47,2.88,2021
Verona,Atalanta,2,3.6,3.68,1.99,2021
Torino,Bologna,1,2.14,3.29,3.54,2021
Udinese,Milan,X,4.33,3.53,1.85,2021
Venezia,Juventus,X,8.24,4.55,1.4,2021
Fiorentina,Salernitana,1,1.27,5.74,10.72,2021
Genoa,Sampdoria,2,3.4,3.11,2.3,2021
Cagliari,Torino,X,3.19,3.16,2.38,2021
Empoli,Udinese,1,2.37,3.38,2.99,2021
Juventus,Genoa,1,1.21,6.34,15.5,2021
Sampdoria,Lazio,2,3.27,3.51,2.17,2021
Spezia,Sassuolo,X,3.03,3.48,2.3,2021
Venezia,Verona,2,3.79,3.4,2.02,2021
Bologna,Fiorentina,2,2.91,3.19,2.55,2021
Napoli,Atalanta,2,2.71,3.37,2.6,2021
Roma,Inter,2,3.8,3.62,1.96,2021
Milan,Salernitana,1,1.22,6.43,13.2,2021
Lazio,Udinese,X,1.62,3.84,5.69,2021
Torino,Empoli,X,1.77,3.62,4.69,2021
Genoa,Milan,2,5.97,4.13,1.56,2021
Sassuolo,Napoli,X,4.11,3.78,1.84,2021
Bologna,Roma,1,2.89,3.36,2.46,2021
Inter,Spezia,1,1.15,8.22,16.22,2021
Salernitana,Juventus,2,9.17,4.94,1.35,2021
Verona,Cagliari,X,1.55,4.18,6.06,2021
Atalanta,Venezia,1,1.24,6.01,12.77,2021
Fiorentina,Sampdoria,1,1.72,3.69,5.01,2021
Napoli,Lazio,1,1.82,3.72,4.31,2021
Roma,Torino,1,1.77,3.79,4.56,2021
Milan,Sassuolo,2,1.47,4.74,6.4,2021
Spezia,Bologna,2,3.21,3.33,2.28,2021
Udinese,Genoa,X,1.67,3.71,5.46,2021
Venezia,Inter,2,8.62,4.99,1.36,2021
Juventus,Atalanta,2,2.05,3.5,3.6,2021
Empoli,Fiorentina,1,3.76,3.59,1.97,2021
Sampdoria,Verona,1,2.86,3.35,2.47,2021
Cagliari,Salernitana,X,1.81,3.48,4.71,2021
Torino,Udinese,1,2.09,3.21,3.84,2021
Verona,Empoli,1,1.73,3.81,4.75,2021
Genoa,Roma,2,4.48,3.98,1.73,2021
Inter,Napoli,1,2.22,3.39,3.31,2021
Bologna,Venezia,2,1.66,3.81,5.38,2021
Salernitana,Sampdoria,2,2.9,3.21,2.52,2021
Sassuolo,Cagliari,X,1.59,4.26,5.36,2021
Fiorentina,Milan,1,2.94,3.28,2.46,2021
Lazio,Juventus,2,2.96,3.19,2.5,2021
Atalanta,Spezia,1,1.25,6.32,10.61,2021
Milan,Inter,X,3.46,3.47,2.12,2021
Lazio,Salernitana,1,1.3,5.64,9.78,2021
Napoli,Verona,X,1.43,4.74,7.28,2021
Sampdoria,Bologna,2,2.69,3.28,2.66,2021
Udinese,Sassuolo,1,2.23,3.42,3.25,2021
Venezia,Roma,1,5.35,3.88,1.64,2021
Cagliari,Atalanta,2,5.94,4.51,1.51,2021
Juventus,Fiorentina,1,1.65,3.77,5.62,2021
Spezia,Torino,1,3.43,3.42,2.14,2021
Empoli,Genoa,X,2.14,3.51,3.33,2021
Bologna,Cagliari,1,1.68,3.87,5.16,2021
Roma,Milan,2,2.33,3.46,3.02,2021
Salernitana,Napoli,2,10.17,5.47,1.3,2021
Fiorentina,Spezia,1,1.63,4.14,5.17,2021
Genoa,Venezia,X,1.99,3.46,3.85,2021
Sassuolo,Empoli,2,1.69,4.21,4.51,2021
Inter,Udinese,1,1.35,5.06,9.19,2021
Torino,Sampdoria,1,1.82,3.62,4.41,2021
Verona,Juventus,1,4.41,3.61,1.82,2021
